Student ID,Name,Performance (AI),Performance (Web Dev),Performance (Networking),Interest 1,Interest 2,Interest 3,Overall Rating (0-100)
1001,Student_1,88,94,61,Data Science,AI,Web Dev,62
1002,Student_2,78,66,77,Networking,Networking,IoT,82
1003,Student_3,64,89,55,Data Science,Web Dev,AI,99
1004,Student_4,92,70,69,Web Dev,Web Dev,IoT,80
1005,Student_5,57,51,54,Networking,Networking,Web Dev,72
1006,Student_6,70,86,72,Web Dev,AI,Web Dev,67
1007,Student_7,88,55,58,Networking,Web Dev,Data Science,64
1008,Student_8,68,93,78,AI,Networking,Data Science,84
1009,Student_9,72,67,65,Web Dev,Web Dev,Data Science,98
1010,Student_10,60,79,95,Web Dev,Data Science,IoT,96
1011,Student_11,60,71,71,IoT,Data Science,AI,64
1012,Student_12,73,82,57,Web Dev,Web Dev,Data Science,67
1013,Student_13,85,79,69,Data Science,Web Dev,Networking,63
1014,Student_14,89,66,63,Networking,Data Science,Data Science,81
1015,Student_15,73,92,88,AI,Web Dev,IoT,73
1016,Student_16,52,81,86,Data Science,AI,AI,78
1017,Student_17,71,91,99,Data Science,AI,Data Science,72
1018,Student_18,51,63,83,Data Science,IoT,AI,94
1019,Student_19,73,59,60,Data Science,AI,Networking,63
1020,Student_20,93,96,89,AI,Web Dev,Web Dev,92
1021,Student_21,79,85,82,IoT,Web Dev,AI,81
1022,Student_22,87,83,80,Web Dev,Networking,Data Science,60
1023,Student_23,51,58,93,Data Science,AI,IoT,70
1024,Student_24,70,91,83,Web Dev,Data Science,IoT,75
1025,Student_25,82,77,99,Web Dev,Data Science,IoT,63
1026,Student_26,61,60,56,Data Science,IoT,IoT,88
1027,Student_27,71,63,98,IoT,Networking,AI,98
1028,Student_28,93,88,72,Web Dev,Data Science,IoT,97
1029,Student_29,74,96,95,Networking,IoT,Web Dev,83
1030,Student_30,98,68,56,Web Dev,AI,Networking,68
1031,Student_31,76,64,74,Data Science,Networking,AI,67
1032,Student_32,91,77,52,AI,Networking,AI,73
1033,Student_33,77,73,87,Web Dev,Web Dev,IoT,74
1034,Student_34,65,57,69,IoT,AI,IoT,81
1035,Student_35,64,92,83,Networking,Networking,AI,96
1036,Student_36,96,58,98,Networking,IoT,IoT,74
1037,Student_37,93,96,93,AI,Data Science,IoT,65
1038,Student_38,52,82,93,AI,AI,IoT,60
1039,Student_39,86,82,79,Web Dev,AI,IoT,79
1040,Student_40,56,68,66,Data Science,Networking,IoT,95
1041,Student_41,70,52,59,IoT,Networking,Data Science,61
1042,Student_42,58,59,84,Networking,Networking,Data Science,65
1043,Student_43,88,89,69,AI,IoT,Data Science,61
1044,Student_44,67,96,67,IoT,Web Dev,AI,62
1045,Student_45,53,91,94,Data Science,Networking,Networking,66
1046,Student_46,74,50,93,Networking,Web Dev,AI,79
1047,Student_47,63,78,76,Networking,Web Dev,Data Science,64
1048,Student_48,99,99,98,Data Science,AI,AI,84
1049,Student_49,58,83,85,Networking,Data Science,Networking,97
1050,Student_50,75,62,72,Data Science,Data Science,IoT,77
1051,Student_51,51,50,81,Networking,IoT,Web Dev,60
1052,Student_52,69,83,59,Web Dev,IoT,Data Science,84
1053,Student_53,77,78,60,Data Science,Data Science,Data Science,76
1054,Student_54,96,97,87,IoT,Data Science,Networking,74
1055,Student_55,56,96,55,Web Dev,AI,IoT,64
1056,Student_56,93,62,90,IoT,AI,IoT,76
1057,Student_57,57,97,96,Networking,Data Science,Web Dev,80
1058,Student_58,96,98,83,IoT,Networking,IoT,82
1059,Student_59,84,78,85,Web Dev,Networking,Networking,69
1060,Student_60,63,88,86,Data Science,AI,IoT,76
1061,Student_61,66,73,66,AI,Web Dev,Networking,60
1062,Student_62,85,75,89,IoT,Data Science,Data Science,96
1063,Student_63,99,66,89,AI,IoT,Data Science,66
1064,Student_64,89,56,61,IoT,Networking,Data Science,71
1065,Student_65,53,62,70,IoT,Web Dev,AI,99
1066,Student_66,51,54,89,Data Science,Networking,Data Science,60
1067,Student_67,55,75,68,Networking,Web Dev,Networking,79
1068,Student_68,91,98,52,Web Dev,Data Science,Web Dev,90
1069,Student_69,53,52,67,Web Dev,Data Science,IoT,63
1070,Student_70,78,56,68,Web Dev,Data Science,Data Science,85
1071,Student_71,67,98,96,Networking,AI,AI,71
1072,Student_72,75,88,55,AI,Web Dev,AI,81
1073,Student_73,93,50,65,Web Dev,IoT,Networking,60
1074,Student_74,83,98,57,AI,IoT,Web Dev,60
1075,Student_75,59,66,97,Networking,Data Science,Data Science,62
1076,Student_76,85,92,67,Networking,IoT,Data Science,71
1077,Student_77,63,74,97,Data Science,Networking,AI,80
1078,Student_78,80,52,92,Web Dev,Web Dev,Networking,72
1079,Student_79,97,64,88,Data Science,Web Dev,AI,72
1080,Student_80,64,78,98,Web Dev,Web Dev,AI,77
1081,Student_81,57,92,98,Networking,Networking,Web Dev,92
1082,Student_82,63,81,61,Networking,AI,Networking,65
1083,Student_83,72,75,94,IoT,Networking,Web Dev,84
1084,Student_84,89,65,59,IoT,Web Dev,Networking,82
1085,Student_85,70,74,56,Networking,Web Dev,Data Science,83
1086,Student_86,65,77,95,Networking,Web Dev,IoT,96
1087,Student_87,94,58,50,AI,IoT,IoT,85
1088,Student_88,67,50,98,AI,AI,Networking,63
1089,Student_89,96,78,85,Data Science,Networking,IoT,97
1090,Student_90,73,71,70,IoT,Web Dev,AI,94
1091,Student_91,75,65,86,IoT,Data Science,Data Science,70
1092,Student_92,74,90,73,Networking,AI,Data Science,95
1093,Student_93,94,93,74,Networking,Data Science,IoT,84
1094,Student_94,90,90,56,Data Science,AI,Networking,79
1095,Student_95,78,56,91,IoT,Web Dev,AI,60
1096,Student_96,64,63,66,AI,AI,Networking,89
1097,Student_97,94,78,78,Web Dev,AI,IoT,63
1098,Student_98,50,68,79,Data Science,Web Dev,Data Science,82
1099,Student_99,74,68,56,Web Dev,Data Science,Data Science,94
1100,Student_100,56,51,82,AI,Data Science,Networking,81
1101,Student_101,58,90,56,AI,IoT,Web Dev,90
1102,Student_102,73,94,73,Web Dev,Data Science,Networking,60
1103,Student_103,50,64,60,Data Science,Data Science,Web Dev,63
1104,Student_104,93,52,58,Web Dev,AI,Networking,78
1105,Student_105,57,60,61,Data Science,IoT,Web Dev,89
1106,Student_106,73,95,84,Data Science,Web Dev,Web Dev,60
1107,Student_107,60,79,53,Networking,Web Dev,Web Dev,78
1108,Student_108,66,89,85,IoT,Networking,Web Dev,80
1109,Student_109,57,67,77,IoT,IoT,AI,81
1110,Student_110,84,97,62,AI,AI,Web Dev,61
1111,Student_111,84,51,72,Networking,Networking,Web Dev,65
1112,Student_112,82,81,68,IoT,Networking,Data Science,80
1113,Student_113,54,57,91,Data Science,Web Dev,AI,92
1114,Student_114,91,71,86,Data Science,Data Science,Web Dev,78
1115,Student_115,88,55,88,Web Dev,AI,IoT,86
1116,Student_116,90,61,73,Web Dev,IoT,AI,96
1117,Student_117,77,96,65,Data Science,Networking,Data Science,88
1118,Student_118,56,89,82,Data Science,AI,Networking,87
1119,Student_119,58,85,61,Web Dev,Web Dev,Data Science,93
1120,Student_120,57,64,83,IoT,Networking,Data Science,60
1121,Student_121,61,77,56,AI,Networking,AI,84
1122,Student_122,83,98,60,Web Dev,Web Dev,AI,80
1123,Student_123,82,94,80,IoT,Web Dev,IoT,93
1124,Student_124,97,67,78,IoT,Web Dev,IoT,85
1125,Student_125,72,51,62,IoT,AI,AI,95
1126,Student_126,73,62,80,Networking,AI,AI,94
1127,Student_127,86,94,51,Networking,AI,AI,82
1128,Student_128,84,64,88,IoT,Data Science,Networking,76
1129,Student_129,93,69,64,Data Science,Networking,Data Science,71
1130,Student_130,89,78,60,Networking,AI,IoT,79
1131,Student_131,71,91,83,Web Dev,Data Science,IoT,98
1132,Student_132,76,78,88,Networking,Networking,Web Dev,86
1133,Student_133,84,52,53,Data Science,AI,Networking,96
1134,Student_134,50,68,60,AI,Web Dev,AI,79
1135,Student_135,84,52,78,Networking,IoT,AI,70
1136,Student_136,86,63,51,IoT,AI,Networking,87
1137,Student_137,96,89,65,IoT,IoT,IoT,61
1138,Student_138,63,53,88,IoT,AI,AI,83
1139,Student_139,52,60,62,AI,Web Dev,Web Dev,75
1140,Student_140,50,80,86,Data Science,IoT,IoT,71
1141,Student_141,54,92,66,Web Dev,Data Science,Data Science,75
1142,Student_142,75,81,70,Data Science,Web Dev,Networking,95
1143,Student_143,63,76,93,AI,IoT,IoT,61
1144,Student_144,88,79,68,IoT,IoT,Data Science,84
1145,Student_145,76,92,56,Data Science,Web Dev,Web Dev,88
1146,Student_146,58,51,87,Web Dev,Web Dev,Networking,87
1147,Student_147,64,98,57,IoT,Web Dev,AI,69
1148,Student_148,64,58,62,Web Dev,Networking,AI,82
1149,Student_149,75,77,86,Networking,Data Science,Data Science,91
1150,Student_150,91,80,51,Web Dev,AI,IoT,90
1151,Student_151,62,83,90,IoT,IoT,Web Dev,78
1152,Student_152,81,64,60,Networking,AI,Data Science,74
1153,Student_153,88,97,73,IoT,Web Dev,Web Dev,92
1154,Student_154,98,74,55,IoT,Data Science,Web Dev,76
1155,Student_155,81,85,75,Networking,Data Science,Web Dev,95
1156,Student_156,53,57,56,Web Dev,Networking,Networking,79
1157,Student_157,79,58,88,AI,Web Dev,Data Science,68
1158,Student_158,86,86,68,AI,IoT,Networking,97
1159,Student_159,72,97,55,AI,Networking,IoT,62
1160,Student_160,88,94,92,AI,Web Dev,IoT,61
1161,Student_161,94,88,78,Data Science,Networking,AI,77
1162,Student_162,64,81,92,AI,AI,AI,82
1163,Student_163,92,66,88,Networking,Web Dev,AI,78
1164,Student_164,78,84,51,AI,IoT,IoT,66
1165,Student_165,85,86,68,IoT,IoT,Web Dev,94
1166,Student_166,62,68,53,AI,Web Dev,Web Dev,79
1167,Student_167,81,93,55,Web Dev,Networking,Data Science,79
1168,Student_168,56,78,98,Networking,Data Science,IoT,78
1169,Student_169,71,56,86,Networking,Web Dev,AI,75
1170,Student_170,77,77,77,Data Science,IoT,IoT,97
1171,Student_171,51,58,79,IoT,AI,Web Dev,80
1172,Student_172,91,77,56,Networking,IoT,Web Dev,88
1173,Student_173,94,55,58,Web Dev,Data Science,Networking,97
1174,Student_174,55,78,74,AI,IoT,Networking,83
1175,Student_175,77,66,82,Networking,Data Science,Data Science,96
1176,Student_176,77,65,50,Web Dev,Web Dev,IoT,88
1177,Student_177,93,72,55,AI,IoT,Networking,90
1178,Student_178,93,80,67,Data Science,Networking,Networking,98
1179,Student_179,69,52,59,Networking,Networking,IoT,71
1180,Student_180,79,70,77,Networking,IoT,Web Dev,89
1181,Student_181,60,75,60,Web Dev,IoT,Data Science,63
1182,Student_182,77,85,82,IoT,AI,Data Science,89
1183,Student_183,74,91,50,Data Science,IoT,Data Science,64
1184,Student_184,88,86,62,IoT,AI,Networking,75
1185,Student_185,82,71,86,Networking,AI,Web Dev,86
1186,Student_186,50,91,69,IoT,AI,Data Science,63
1187,Student_187,76,61,50,AI,AI,IoT,67
1188,Student_188,62,91,52,Data Science,Web Dev,Data Science,67
1189,Student_189,90,62,67,IoT,Networking,AI,76
1190,Student_190,52,60,90,AI,AI,Web Dev,62
1191,Student_191,88,65,63,Web Dev,Networking,AI,86
1192,Student_192,55,57,80,IoT,AI,Web Dev,93
1193,Student_193,57,89,76,Data Science,Networking,IoT,80
1194,Student_194,76,89,66,AI,IoT,Networking,83
1195,Student_195,58,94,95,IoT,IoT,Networking,88
1196,Student_196,86,51,78,Web Dev,Networking,Web Dev,98
1197,Student_197,82,79,85,IoT,AI,Data Science,65
1198,Student_198,91,79,86,AI,Web Dev,AI,73
1199,Student_199,93,61,75,IoT,Networking,IoT,73
1200,Student_200,73,59,66,Data Science,Data Science,Data Science,96
1201,Student_201,64,93,71,Networking,Web Dev,Networking,83
1202,Student_202,81,60,74,AI,Data Science,Data Science,72
1203,Student_203,81,64,51,AI,Networking,AI,60
1204,Student_204,73,65,71,AI,AI,Networking,71
1205,Student_205,90,66,54,AI,Data Science,Web Dev,83
1206,Student_206,98,75,53,IoT,Networking,IoT,96
1207,Student_207,98,51,85,Data Science,Web Dev,IoT,79
1208,Student_208,61,99,55,Web Dev,AI,Networking,65
1209,Student_209,88,61,70,Data Science,Data Science,Web Dev,71
1210,Student_210,51,75,62,AI,Networking,AI,80
1211,Student_211,52,72,86,IoT,AI,IoT,62
1212,Student_212,98,67,74,IoT,AI,Networking,86
1213,Student_213,86,81,75,AI,IoT,IoT,95
1214,Student_214,98,98,88,IoT,AI,Web Dev,76
1215,Student_215,66,87,69,AI,Networking,AI,74
1216,Student_216,98,96,82,Data Science,Web Dev,Web Dev,98
1217,Student_217,51,52,63,Networking,IoT,Data Science,63
1218,Student_218,51,87,85,IoT,Networking,Web Dev,76
1219,Student_219,77,52,66,AI,Networking,Web Dev,97
1220,Student_220,72,79,70,AI,Networking,IoT,70
1221,Student_221,86,50,95,IoT,Data Science,Web Dev,71
1222,Student_222,81,79,65,Web Dev,Data Science,Networking,91
1223,Student_223,82,94,95,AI,Web Dev,IoT,86
1224,Student_224,50,81,65,IoT,Networking,IoT,86
1225,Student_225,68,77,69,AI,Data Science,Data Science,99
1226,Student_226,51,70,78,Web Dev,Data Science,Networking,88
1227,Student_227,93,95,77,Networking,Data Science,Web Dev,68
1228,Student_228,75,62,57,Web Dev,Web Dev,Data Science,62
1229,Student_229,81,76,73,Data Science,Web Dev,Networking,98
1230,Student_230,55,85,52,IoT,Networking,Data Science,88
1231,Student_231,81,56,74,Web Dev,IoT,AI,80
1232,Student_232,53,71,68,Networking,Networking,Web Dev,94
1233,Student_233,60,59,82,AI,Data Science,Data Science,69
1234,Student_234,66,88,51,IoT,Data Science,AI,82
1235,Student_235,87,64,64,Web Dev,AI,Web Dev,98
1236,Student_236,73,64,71,Networking,Networking,Data Science,84
1237,Student_237,54,53,59,Web Dev,Data Science,Data Science,83
1238,Student_238,83,81,67,Data Science,Data Science,Data Science,79
1239,Student_239,55,72,71,IoT,IoT,Data Science,74
1240,Student_240,71,55,95,AI,AI,IoT,80
1241,Student_241,60,73,98,Networking,Networking,Data Science,71
1242,Student_242,97,69,76,Web Dev,Web Dev,IoT,77
1243,Student_243,65,86,62,IoT,Networking,IoT,82
